#Source : http://linkdata.org/work/rdf1s877i
type,Jurisdiction,Charge,phone,email,address,lat,lng,update
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市安田原町７,39.300959,140.561978,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市松原町２,39.300518,140.564952,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市安田原町１７−５,39.299698,140.564412,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字大乗院塚１２１,39.304609,140.571251,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字松山町,39.302531,140.573816,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字上在家３２−１,39.305126,140.575163,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平和町９−１,39.308873,140.573849,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平和町１５−３１,39.308864,140.571263,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町２８−５,39.307108,140.569995,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町２４−２１,39.305604,140.571903,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町２６−２９,39.306841,140.571623,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町２７−２２,39.306618,140.571322,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町２９−８,39.305409,140.570076,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字松原６０−１,39.301228,140.569284,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町１２−３６,39.302027,140.567988,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市南町１２−１４,39.302863,140.567542,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横山町２−３５,39.303712,140.565027,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町１５−１０,39.305346,140.564235,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町９−２１,39.307695,140.56203,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅前町８−５,39.307098,140.563131,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町９−３,39.308107,140.5638,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町６−５,39.308406,140.564756,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町１０−１,39.308058,140.565942,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町９−１３,39.30744,140.566498,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町１２−１２,39.305747,140.565736,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町１−３３,39.308675,140.567126,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市神明町２−２９,39.309586,140.567271,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町３−８,39.30879,140.565523,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町２−１６,39.309326,140.564426,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町２−４,39.310197,140.564455,2013.9.18
syoukasen,横手消防署,１区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷二番町２−４２,39.31032,140.563914,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平城町１０−３０,39.31945,140.559495,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大水戸町５−２５,39.315756,140.562764,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市中央町１−２１,39.316535,140.563942,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市中央町２−２,39.316794,140.565173,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市中央町６−４５,39.315375,140.565117,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市中央町６−２８,39.314122,140.565664,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市鍛冶町２−４２,39.312944,140.567671,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市四日町５−２０,39.313205,140.568075,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市四日町４−２０,39.314909,140.567248,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市四日町１−１７,39.316465,140.566468,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市四日町１−７,39.317335,140.56603,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大町４−４,39.317963,140.566635,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大町３−５０,39.31826,140.567354,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大町６−１０,39.316388,140.567812,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大町６−２４,39.315234,140.568381,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大町７−９,39.314242,140.5689,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市鍛冶町１−１０,39.312762,140.570127,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市清川町３−３,39.311771,140.57084,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市清川町６,39.311055,140.570316,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市清川町１０−４,39.309591,140.572045,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市旭川一丁目５−１,39.308971,140.576039,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市旭川二丁目４−１３,39.309033,140.578924,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市旭川三丁目２−５０,39.310435,140.579387,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市旭川三丁目４−１２,39.309077,140.580862,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市旭川三丁目５−４２,39.307725,140.579202,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本郷町７−２６,39.306575,140.579188,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大沢字前田地内,39.305232,140.582629,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大沢字前田地内,39.307638,140.583871,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大沢字羽根山１５,39.295397,140.589476,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大沢字羽根山５５,39.297705,140.589544,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大沢字嶽鼻１３,39.299091,140.588531,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本郷町８−１,39.306832,140.577383,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本郷町１−５１,39.307387,140.574988,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平和町４−２,39.309406,140.568782,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平和町４−１９,39.309509,140.569866,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市鍛冶町６−９,39.310155,140.568974,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市鍛冶町２−１２,39.311989,140.568605,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市四日町５−２５,39.313296,140.569153,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市中央町６−１６,39.314285,140.566797,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大水戸町２−４,39.315475,140.563992,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市大水戸町５−８,39.31525,140.56264,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平城町７−３０,39.315921,140.560882,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平城町３−３７,39.315443,140.560782,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平城町５−４,39.31446,140.561667,2013.9.18
syoukasen,横手消防署,２区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市平城町６−１８,39.315254,140.560059,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手市横手町字四ノ口,39.312731,140.551635,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字六ノ口,39.317961,140.547518,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字大関越１５３,39.319187,140.547627,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字大関越１４７,39.320147,140.547965,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市卸町６−１０,39.32174,140.548448,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字八幡７９,39.32293,140.5511,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字八幡１４５,39.322363,140.550776,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市卸町７−１２,39.321395,140.550419,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字三ノ口３０−１,39.317446,140.550833,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字大関越１８７,39.31837,140.552079,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字十二柳１−４,39.327395,140.55272,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字石町１７７,39.325633,140.557457,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字石町３３,39.325972,140.555576,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市八幡字石町２７３,39.323804,140.5562,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字下真山２５−１,39.321039,140.556552,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字下真山６６,39.319872,140.556823,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字上真山２００−１,39.317475,140.557206,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字上真山５７−８,39.317125,140.558804,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市梅の木町１８−２３,39.314266,140.559011,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市梅の木町１７−１２,39.314483,140.557096,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市梅の木町１３−１４,39.315513,140.55741,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市梅の木町８−１２,39.316297,140.556755,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市梅の木町１５−５,39.315325,140.556165,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字三枚橋一丁目５−２９,39.312865,140.558182,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手町字下飛瀬４７−１２,39.311392,140.559327,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字下三枚橋２１２,39.309812,140.557099,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字上三枚橋１０−１,39.30948,140.558548,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字下横山６５−１,39.306816,140.559061,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市安田字縄手添５−１,39.30543,140.557775,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南二丁目３−５５,39.303972,140.558133,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南二丁目３−１４,39.302624,140.558331,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南一丁目５−２７,39.301496,140.560054,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南一丁目３,39.30285,140.559842,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南一丁目７−４５,39.30292,140.561141,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南一丁目２,39.303851,140.560246,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市駅南一丁目２−２９,39.303891,140.55968,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市前郷字上三枚橋８０,39.308099,140.557221,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手市条里二丁目１３−１５,39.311489,140.556471,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手市条里二丁目１−４４,39.311603,140.554566,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手市条里一丁目８,39.309972,140.555589,2013.9.18
syoukasen,横手消防署,３区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市横手市条里一丁目１−１,39.311028,140.552736,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市羽黒町４−３５,39.314901,140.570505,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市羽黒町９−１５,39.313762,140.571569,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市上内町１−１８,39.312298,140.572656,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市上内町６−１４,39.311821,140.573593,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市上内町９−２４,39.31112,140.575051,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市羽黒町１１−２９,39.313495,140.57275,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市羽黒町１０−７,39.314705,140.571429,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市羽黒町５−４５,39.315942,140.570738,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市城南町６−３６,39.317461,140.572879,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市城南町１４,39.319321,140.577188,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市根岸町１０−４４,39.31733,140.570518,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市城南町７−８,39.318401,140.572501,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市根岸町５−３１,39.31842,140.568527,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市根岸町５−３１,39.318675,140.569396,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市根岸町２−１４,39.320132,140.56735,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市城西町１−１２,39.32206,140.566893,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本町９−３,39.320146,140.566351,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本町５−３８,39.319405,140.564774,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市蛇ノ崎町２−２４,39.318223,140.563865,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市蛇ノ崎町７−４１,39.317525,140.562353,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市二葉町１−３,39.319106,140.56352,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市二葉町１−１１,39.319691,140.563378,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市二葉町８−１３,39.321153,140.56375,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市二葉町１０−１,39.321728,140.563067,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市二葉町８−３１,39.32086,140.564331,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本町８−１７,39.321244,140.565369,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本町７−４３,39.322045,140.565592,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市本町７−３０,39.323186,140.565531,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市幸町２−１０,39.324209,140.56553,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市幸町７−１３,39.325455,140.566098,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市幸町７−５０,39.325039,140.567108,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市明永町８−１６,39.32709,140.56811,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市明永町１１−７０,39.328014,140.569482,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市新坂町１−３１,39.327732,140.566884,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻二丁目１０−２８,39.332614,140.570968,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻三丁目５,39.333916,140.573116,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻三丁目４−１４,39.334651,140.571824,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻三丁目２−８,39.334574,140.570416,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻一丁目３−１９,39.332895,140.569492,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市追廻一丁目２−２２,39.332699,140.567811,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市台所町１０−５,39.331816,140.565008,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市新坂町２−７４,39.329455,140.56567,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市新坂町３−５４,39.327871,140.565635,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市幸町６−１６,39.326103,140.565357,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市幸町３−２２,39.324749,140.564594,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市朝倉町６−４７,39.324004,140.562758,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市朝倉町９−１,39.323367,140.560165,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市朝倉町４−１２,39.321876,140.559925,2013.9.18
syoukasen,横手消防署,４区,0182-32-1138,shoubou-shomu@city.yokote.lg.jp,横手市朝倉町８−１,39.324757,140.560459,2013.9.18
